[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: amca_test in D:\xampp\htdocs\plasticair\form-values.php on line 15
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 22
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: amca_test in D:\xampp\htdocs\plasticair\form-values.php on line 15
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 22
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: hp in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 31
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: fan_name in D:\xampp\htdocs\plasticair\form-values.php on line 28
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: cfm in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Warning:  Division by zero in D:\xampp\htdocs\plasticair\form-values.php on line 29
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: static_pressure in D:\xampp\htdocs\plasticair\form-values.php on line 30
[16-Mar-2013 08:16:55] PHP Notice:  Undefined index: test_rpm in D:\xampp\htdocs\plasticair\form-values.php on line 30
